tweet_id,sentiment,content
1956967341,empty,know listenin bad habit earlier started freakin part
1956967666,sadness,layin n bed headache ughhhhwaitin call
1956967696,sadness,funeral ceremonygloomy friday
1956967789,enthusiasm,wants hang friends soon
1956968416,neutral,want trade someone houston tickets one
1956968477,worry,repinging didnt go prom bc bf didnt like friends
1956968487,sadness,sleep im thinking old friend want hes married damn amp wants scandalous
1956968636,worry,hmmm
1956969035,sadness,charlene love miss
1956969172,sadness,im sorry least friday
1956969456,neutral,cant fall asleep
1956969531,worry,choked retainers
1956970047,sadness,ugh beat stupid song get next rude
1956970424,sadness,u watch hills london u realise tourture weeks weeks late watch itonlinelol
1956970860,surprise,got news
1956971077,sadness,storm electricity gone
1956971170,love,agreed
1956971206,sadness,sleepy even late fail
1956971473,worry,lady gaga tweeted impressed video leaking know
1956971586,sadness,convinced always wanted signals give offdamn think lost another friend
1956971981,worry,oh bad hope gets better ive sleep issues lately
1956972097,fun,wondering im awake amwriting new songplotting evil secret plots muahahahaoh damn itnot secret anymore
1956972116,neutral,topic maps talks balisage markup conference program online via topicmaps
1956972270,worry,ate something dont know keep telling things food
1956972359,sadness,tired think im definitely going get ear infection going bed quotearlyquot
1956972444,worry,way home n deal w underage girls drinking gin da bus talking bout keggersdamn feel old
1956972557,sadness,im sorry people rude isaac get manners know better lewd
1956972884,worry,damm servers still need hit koxpers pass
1956973598,sadness,fudge bsd whole paper tired ugh hate school time sleep
1956973690,worry,hate cancer hate hate hate
1956974706,hate,annoying starts typing computer middle night
1956975441,neutral,cant sleep
1956975860,neutral,missed bly bus
1956975876,neutral,feels strong contractions wants go
1956975927,neutral,socal stoked maybe tomorrow
1956976187,neutral,screw weeks
1956976312,sadness,yeah feel funny cause havent slept enough woke mum cause singing shes impressed
1956976371,worry,need skott right
1956976557,neutral,work afternoon
1956976681,neutral,aw would unfollow would would cry
1956977084,happiness,mmm much better day far still quite early last day uds
1956977187,fun,lt gonna first twitter cause amazing lol come canada would anything see perform
1956977618,worry,picked blackberry middle street crushed
1956977624,worry,feeling packing hitting sfo around time year think im missing something
1956978276,empty,middle school elem high schools remain open need credits graduate cali broken
1956978410,worry,bed time hope go school tomorrow though dont feel well right
1956978668,worry,ahh well hoping could learn stuff way work separate things also
1956979150,sadness,im problem photo twitter amfcant see face
1956979437,neutral,oh noooo blow tire youre reaaaally going send batman smoke
1956979756,neutral,wnna take bath
1956979894,neutral,chocolate milk much better straw lack said straw
1956979900,worry,tired
1956979917,empty,hey yu lil fucker textd yu
1956980788,neutral,time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup hrs
1956980883,neutral,way damn sucks b ok
1956980972,worry,sucks able take days work money take trip sad
1956981427,enthusiasm,bedsorta today good sara strep thought angelina shared water b told prob get
1956981850,neutral,recession hotel restructuring accounts done adds bit pressure short term well cope
1956982075,neutral,got dibs sulu
1956982383,sadness,aww onward upwards yay still sad leave bet
1956982449,worry,haha poor aby still gets sore
